time (s),cross(VT("/A1") 0.5 1 "either"  t "time"  ) (s),time (s),cross(VT("/A0") 0.5 1 "either"  t "time"  ) (s),time (s),cross(VT("/B1") 0.5 1 "either"  t "time"  ) (s),time (s),cross(VT("/B0") 0.5 1 "either"  t "time"  ) (s),time (s),cross(VT("/Less") 0.5 1 "either"  t "time"  ) (s)
5.0500000E-9,5.0500000E-9,30.050000E-9,30.050000E-9,15.050000E-9,15.050000E-9,15.050000E-9,15.050000E-9,5.0637315E-9,5.0637315E-9
10.050000E-9,10.050000E-9,65.050000E-9,65.050000E-9,60.050000E-9,60.050000E-9,45.050000E-9,45.050000E-9,10.063304E-9,10.063304E-9
20.050000E-9,20.050000E-9,70.050000E-9,70.050000E-9,75.050000E-9,75.050000E-9,90.050000E-9,90.050000E-9,20.063421E-9,20.063421E-9
25.050000E-9,25.050000E-9,80.050000E-9,80.050000E-9,90.050000E-9,90.050000E-9,120.05000E-9,120.05000E-9,25.064075E-9,25.064075E-9
35.050000E-9,35.050000E-9,85.050000E-9,85.050000E-9,95.050000E-9,95.050000E-9,150.05000E-9,150.05000E-9,35.063286E-9,35.063286E-9
40.050000E-9,40.050000E-9,90.050000E-9,90.050000E-9,100.05000E-9,100.05000E-9,155.05000E-9,155.05000E-9,40.064072E-9,40.064072E-9
50.050000E-9,50.050000E-9,105.05000E-9,105.05000E-9,110.05000E-9,110.05000E-9,160.05000E-9,160.05000E-9,50.063263E-9,50.063263E-9
55.050000E-9,55.050000E-9,135.05000E-9,135.05000E-9,115.05000E-9,115.05000E-9,170.05000E-9,170.05000E-9,55.064066E-9,55.064066E-9
60.050000E-9,60.050000E-9, , ,125.05000E-9,125.05000E-9,175.05000E-9,175.05000E-9,65.063854E-9,65.063854E-9
75.050000E-9,75.050000E-9, , ,130.05000E-9,130.05000E-9, , ,70.063931E-9,70.063931E-9
90.050000E-9,90.050000E-9, , ,140.05000E-9,140.05000E-9, , ,80.065081E-9,80.065081E-9
135.05000E-9,135.05000E-9, , ,145.05000E-9,145.05000E-9, , ,85.064585E-9,85.064585E-9
150.05000E-9,150.05000E-9, , ,165.05000E-9,165.05000E-9, , ,95.059366E-9,95.059366E-9
165.05000E-9,165.05000E-9, , , , , , ,100.06039E-9,100.06039E-9
 , , , , , , , ,110.05936E-9,110.05936E-9
 , , , , , , , ,115.06039E-9,115.06039E-9
 , , , , , , , ,125.05937E-9,125.05937E-9
 , , , , , , , ,130.06039E-9,130.06039E-9
 , , , , , , , ,140.06586E-9,140.06586E-9
 , , , , , , , ,145.05724E-9,145.05724E-9
 , , , , , , , ,155.06022E-9,155.06022E-9
 , , , , , , , ,160.05965E-9,160.05965E-9
 , , , , , , , ,170.06050E-9,170.06050E-9
 , , , , , , , ,175.06017E-9,175.06017E-9
