time,output_transition,max_input_transition,delay,input_combination
5e-09,5.0637315e-09,5.05e-09,1.3731500000000595e-11,'1001
1e-08,1.0063304e-08,1.005e-08,1.3303999999999151e-11,'0001
1.5000000000000002e-08,0.0,1.505e-08,0.0,'1001
2e-08,2.0063421e-08,2.005e-08,1.3421000000000051e-11,'1010
2.5e-08,2.5064075e-08,2.505e-08,1.4075000000000078e-11,'0010
3.0000000000000004e-08,0.0,3.005e-08,0.0,'1010
3.5e-08,3.5063286e-08,3.505e-08,1.328600000000003e-11,'1110
4e-08,4.0064072e-08,4.005e-08,1.4071999999999122e-11,'0110
4.5e-08,0.0,4.505e-08,0.0,'1110
5e-08,5.0063263e-08,5.005e-08,1.3262999999996007e-11,'1111
5.5e-08,5.5064066e-08,5.505e-08,1.4065999999997209e-11,'0111
6.000000000000001e-08,0.0,6.005e-08,0.0,'1111
6.5e-08,6.5063854e-08,6.505e-08,1.3854000000002421e-11,'0101
7e-08,7.0063931e-08,7.005e-08,1.3931000000003806e-11,'0001
7.5e-08,0.0,7.505e-08,0.0,'0101
8e-08,8.0065081e-08,8.005e-08,1.50809999999932e-11,'1111
8.500000000000001e-08,8.5064585e-08,8.505e-08,1.458500000000714e-11,'1011
9e-08,0.0,9.005e-08,0.0,'1111
9.5e-08,9.5059366e-08,9.505e-08,9.366000000001144e-12,'0000
1e-07,1.0006039e-07,1.0005e-07,1.0389999999996694e-11,'0010
1.05e-07,0.0,1.0505e-07,0.0,'0000
1.1e-07,1.1005936e-07,1.1005e-07,9.360000000005849e-12,'0100
1.15e-07,1.1506039e-07,1.1505e-07,1.0389999999996694e-11,'0110
1.2000000000000002e-07,0.0,1.2005e-07,0.0,'0100
1.25e-07,1.2505937e-07,1.2505e-07,9.37000000000242e-12,'0101
1.3e-07,1.3006039e-07,1.3005e-07,1.0389999999996694e-11,'0111
1.35e-07,0.0,1.3505e-07,0.0,'0101
1.4e-07,1.4006586e-07,1.4005e-07,1.586000000001322e-11,'1001
1.4500000000000001e-07,1.4505724e-07,1.4505e-07,7.240000000005033e-12,'1011
1.5e-07,0.0,1.5005e-07,0.0,'1001
1.55e-07,1.5506022e-07,1.5505e-07,1.0219999999988825e-11,'0000
1.6e-07,1.6005965e-07,1.6005e-07,9.649999999985796e-12,'0001
1.65e-07,0.0,1.6505e-07,0.0,'0000
1.7000000000000001e-07,1.700605e-07,1.7005e-07,1.0499999999998671e-11,'1010
1.75e-07,1.7506017e-07,1.7505e-07,1.0169999999992738e-11,'1011
